Rank,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TDs,INTs,1st,1st%,Long,20+,40+,Sacks,Rate
1,Jared Goff,LA,QB,120,166,72.3,33.2,"1,727",10.4,345.4,12,4,81,48.8,70T,28,5,6,119.7
2,Kirk Cousins,MIN,QB,161,226,71.2,45.2,"1,688",7.5,337.6,11,2,87,38.5,75T,18,3,14,105.1
3,Ben Roethlisberger,PIT,QB,138,215,64.2,43.0,"1,664",7.7,332.8,11,6,81,37.7,75T,20,5,9,93.2
4,Eli Manning,NYG,QB,158,230,68.7,38.3,"1,662",7.2,277.0,6,4,78,33.9,55,18,2,20,90.9
5,Drew Brees,NO,QB,148,190,77.9,38.0,"1,658",8.7,331.6,11,0,75,39.5,62T,26,3,8,122.3
6,Derek Carr,OAK,QB,144,202,71.3,40.4,"1,641",8.1,328.2,7,8,74,36.6,66,23,4,11,90.4
7,Deshaun Watson,HOU,QB,125,192,65.1,38.4,"1,621",8.4,324.2,8,5,80,41.7,49,22,1,18,94.6
8,Matt Ryan,ATL,QB,125,183,68.3,36.6,"1,601",8.7,320.2,11,2,73,39.9,75T,19,4,16,110.9
9,Aaron Rodgers,GB,QB,131,208,63.0,41.6,"1,572",7.6,314.4,10,1,68,32.7,75T,17,5,16,100.1
10,Joe Flacco,BAL,QB,139,227,61.2,45.4,"1,550",6.8,310.0,8,3,76,33.5,71,18,3,11,87.8
11,Blake Bortles,JAX,QB,130,211,61.6,42.2,"1,525",7.2,305.0,8,7,77,36.5,67T,21,2,11,82.4
12,Patrick Mahomes,KC,QB,112,176,63.6,35.2,"1,513",8.6,302.6,14,2,72,40.9,58T,25,4,6,112.7
13,Philip Rivers,LAC,QB,122,174,70.1,34.8,"1,495",8.6,299.0,13,2,75,43.1,48,23,3,6,116.4
14,Andrew Luck,IND,QB,163,245,66.5,49.0,"1,491",6.1,298.2,12,5,79,32.2,42,13,2,10,90.7
15,Andy Dalton,CIN,QB,123,187,65.8,37.4,"1,445",7.7,289.0,12,7,75,40.1,49,21,1,9,94.9
16,Matthew Stafford,DET,QB,126,191,66.0,38.2,"1,385",7.3,277.0,10,5,71,37.2,67,18,3,9,93.8
