Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
1,Michael Thomas,NO,WR,28,269,9.6,134.5,35,3,3,0,13,46.4,2
2,Jarvis Landry,CLE,WR,20,278,13.9,92.7,39,0,5,0,10,50.0,0
2,Christian McCaffrey,CAR,RB,20,147,7.4,73.5,18,0,0,0,9,45.0,0
4,Chris Thompson,WAS,RB,19,155,8.2,77.5,23,1,1,0,9,47.4,0
5,Antonio Brown,PIT,WR,18,160,8.9,80.0,22T,1,1,0,11,61.1,0
5,JuJu Smith-Schuster,PIT,WR,18,240,13.3,120.0,67,1,3,1,13,72.2,0
5,Adam Thielen,MIN,WR,18,233,12.9,116.5,34,1,4,0,12,66.7,0
8,Quincy Enunwa,NYJ,WR,17,212,12.5,70.7,21T,1,3,0,14,82.4,1
8,Mike Evans,TB,WR,17,230,13.5,115.0,50T,2,3,1,12,70.6,1
10,Nelson Agholor,PHI,WR,16,121,7.6,60.5,50,1,1,1,6,37.5,0
10,Saquon Barkley,NYG,RB,16,102,6.4,51.0,18,0,0,0,3,18.8,0
10,Zach Ertz,PHI,TE,16,142,8.9,71.0,34,0,1,0,4,25.0,0
13,Odell Beckham,NYG,WR,15,162,10.8,81.0,24,0,2,0,8,53.3,0
13,Melvin Gordon,LAC,RB,15,140,9.3,70.0,25,2,2,0,9,60.0,0
13,Julio Jones,ATL,WR,15,233,15.5,116.5,36,0,4,0,10,66.7,0
13,Alvin Kamara,NO,RB,15,165,11.0,82.5,35,1,2,0,7,46.7,0
17,Keenan Allen,LAC,WR,14,175,12.5,87.5,23,1,3,0,9,64.3,0
17,DeAndre Hopkins,HOU,WR,14,188,13.4,94.0,31,1,3,0,8,57.1,0
17,Theo Riddick,DET,RB,14,62,4.4,31.0,10,0,0,0,3,21.4,0
17,Allen Robinson,CHI,WR,14,144,10.3,72.0,33,0,1,0,8,57.1,0
17,Emmanuel Sanders,DEN,WR,14,231,16.5,115.5,43T,1,6,1,8,57.1,0
17,Golden Tate,DET,WR,14,188,13.4,94.0,67,1,3,1,8,57.1,0
23,Davante Adams,GB,WR,13,152,11.7,76.0,51,2,1,1,8,61.5,0
23,Randall Cobb,GB,WR,13,172,13.2,86.0,75T,1,2,1,7,53.8,0
23,Jared Cook,OAK,TE,13,229,17.6,114.5,45,0,6,1,10,76.9,0
23,Kenny Golladay,DET,WR,13,203,15.6,101.5,30T,1,4,0,11,84.6,0
27,Brandin Cooks,LA,WR,12,246,20.5,123.0,57,0,6,1,10,83.3,0
27,Stefon Diggs,MIN,WR,12,171,14.3,85.5,75T,3,2,1,7,58.3,0
27,Phillip Dorsett,NE,WR,12,110,9.2,55.0,19,1,0,0,8,66.7,0
27,Tyreek Hill,KC,WR,12,259,21.6,129.5,58T,3,7,1,10,83.3,0
27,T.Y. Hilton,IND,WR,12,129,10.8,64.5,22,2,1,0,8,66.7,0
32,Geronimo Allison,GB,WR,11,133,12.1,66.5,39T,1,2,0,5,45.5,0
32,Amari Cooper,OAK,WR,11,125,11.4,62.5,30,0,2,0,6,54.5,0
32,Corey Davis,TEN,WR,11,117,10.6,58.5,18,0,0,0,7,63.6,1
32,A.J. Green,CIN,WR,11,161,14.6,80.5,38T,4,2,0,10,90.9,2
32,Cooper Kupp,LA,WR,11,115,10.5,57.5,29,1,1,0,6,54.5,0
32,Demaryius Thomas,DEN,WR,11,81,7.4,40.5,23,1,1,0,6,54.5,0
32,James White,NE,RB,11,111,10.1,55.5,27,1,1,0,6,54.5,0
39,Javorius Allen,BAL,RB,10,51,5.1,25.5,16,0,0,0,4,40.0,0
39,Keelan Cole,JAX,WR,10,170,17.0,85.0,31,1,4,0,9,90.0,0
39,James Conner,PIT,RB,10,105,10.5,52.5,22,0,1,0,4,40.0,0
39,Larry Fitzgerald,ARI,WR,10,104,10.4,52.0,27,0,2,0,5,50.0,0
39,Devin Funchess,CAR,WR,10,118,11.8,59.0,27,0,1,0,7,70.0,0
39,Ryan Grant,IND,WR,10,89,8.9,44.5,21,0,1,0,4,40.0,0
39,Jordan Reed,WAS,TE,10,103,10.3,51.5,22,1,1,0,5,50.0,1
46,Cole Beasley,DAL,WR,9,86,9.6,43.0,17,0,0,0,6,66.7,0
46,Tyler Boyd,CIN,WR,9,117,13.0,58.5,27,1,2,0,5,55.6,0
46,Dalvin Cook,MIN,RB,9,107,11.9,53.5,24,0,2,0,5,55.6,0
46,Jack Doyle,IND,TE,9,80,8.9,40.0,13,0,0,0,3,33.3,1
46,Chase Edmonds,ARI,RB,9,39,4.3,19.5,8,0,0,0,1,11.1,0
46,Evan Engram,NYG,TE,9,85,9.4,42.5,18T,1,0,0,3,33.3,0
46,Taylor Gabriel,CHI,WR,9,55,6.1,27.5,31,0,1,0,1,11.1,0
