Rk, Player, Team, Pos, Rec, Yds, Avg, Yds/G, Lng, TD, 20+, 40+, 1st, 1st%, FUM

1, Michael Thomas, NO, WR, 16, 180, 11.3, 180.0, 35, 1, 2, 0, 7, 43.8, 1

2, Odell Beckham, NYG, WR, 11, 111, 10.1, 111.0, 24, 0, 2, 0, 4, 36.4, 0

3, Julio Jones, ATL, WR, 10, 169, 16.9, 169.0, 36, 0, 3, 0, 7, 70.0, 0

3, Emmanuel Sanders, DEN, WR, 10, 135, 13.5, 135.0, 43T, 1, 2, 1, 3, 30.0, 0

5, Antonio Brown, PIT, WR, 9, 93, 10.3, 93.0, 22T, 1, 1, 0, 6, 66.7, 0

5, Randall Cobb, GB, WR, 9, 142, 15.8, 142.0, 75T, 1, 2, 1, 5, 55.6, 0

5, Jared Cook, OAK, TE, 9, 180, 20.0, 180.0, 45, 0, 4, 1, 7, 77.8, 0

5, Melvin Gordon, LAC, RB, 9, 102, 11.3, 102.0, 25, 0, 2, 0, 6, 66.7, 0

5, Alvin Kamara, NO, RB, 9, 112, 12.4, 112.0, 35, 1, 2, 0, 4, 44.4, 0

5, Jalen Richard, OAK, RB, 9, 55, 6.1, 55.0, 9, 0, 0, 0, 2, 22.2, 0

11, Nelson Agholor, PHI, WR, 8, 33, 4.1, 33.0, 10, 0, 0, 0, 2, 25.0, 0

11, Keenan Allen, LAC, WR, 8, 108, 13.5, 108.0, 23, 1, 3, 0, 5, 62.5, 0

11, Ryan Grant, IND, WR, 8, 59, 7.4, 59.0, 13, 0, 0, 0, 3, 37.5, 0

11, DeAndre Hopkins, HOU, WR, 8, 78, 9.8, 78.0, 17, 0, 0, 0, 4, 50.0, 0

15, Cole Beasley, DAL, WR, 7, 73, 10.4, 73.0, 17, 0, 0, 0, 5, 71.4, 0

15, Phillip Dorsett, NE, WR, 7, 66, 9.4, 66.0, 14, 1, 0, 0, 6, 85.7, 0

15, Jack Doyle, IND, TE, 7, 60, 8.6, 60.0, 13, 0, 0, 0, 2, 28.6, 1

15, Mike Evans, TB, WR, 7, 147, 21.0, 147.0, 50T, 1, 3, 1, 7, 100.0, 0

15, Larry Fitzgerald, ARI, WR, 7, 76, 10.9, 76.0, 27, 0, 2, 0, 3, 42.9, 0

15, Kenny Golladay, DET, WR, 7, 114, 16.3, 114.0, 26, 0, 2, 0, 6, 85.7, 0

15, Rob Gronkowski, NE, TE, 7, 123, 17.6, 123.0, 30, 1, 4, 0, 5, 71.4, 1

15, Tyreek Hill, KC, WR, 7, 169, 24.1, 169.0, 58T, 2, 5, 1, 6, 85.7, 0

