Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM

1,JamesConner,PIT,RB,31,31.0,135,4.4,135.0,2,22T,5,16.1,1,0,1

2,ToddGurley,LA,RB,20,20.0,108,5.4,108.0,0,23,6,30.0,1,0,0

3,SaquonBarkley,NYG,RB,18,18.0,106,5.9,106.0,1,68T,3,16.7,1,1,0

4,IsaiahCrowell,NYJ,RB,10,10.0,102,10.2,102.0,2,62T,3,30.0,1,1,0

5,LamarMiller,HOU,RB,20,20.0,98,4.9,98.0,0,31,3,15.0,1,0,0

6,AdrianPeterson,WAS,RB,26,26.0,96,3.7,96.0,1,17,4,15.4,0,0,0

7,JoeMixon,CIN,RB,17,17.0,95,5.6,95.0,1,27,4,23.5,1,0,0

8,JordanHoward,CHI,RB,15,15.0,82,5.5,82.0,0,16,3,20.0,0,0,0

9,TyrodTaylor,CLE,QB,8,8.0,77,9.6,77.0,1,24,4,50.0,2,0,0

10,DionLewis,TEN,RB,16,16.0,75,4.7,75.0,1,26,2,12.5,1,0,0

11,RoyceFreeman,DEN,RB,15,15.0,71,4.7,71.0,0,17,3,20.0,0,0,0

11,PhillipLindsay,DEN,RB,15,15.0,71,4.7,71.0,0,14,5,33.3,0,0,0

13,PeytonBarber,TB,RB,19,19.0,69,3.6,69.0,0,23,2,10.5,1,0,0

13,EzekielElliott,DAL,RB,15,15.0,69,4.6,69.0,1,17,3,20.0,0,0,0

15,ChrisThompson,WAS,RB,5,5.0,65,13.0,65.0,0,16,4,80.0,0,0,0

16,RexBurkhead,NE,RB,18,18.0,64,3.6,64.0,0,12,2,11.1,0,0,1

16,MelvinGordon,LAC,RB,15,15.0,64,4.3,64.0,0,18,3,20.0,0,0,0

18,JayAjayi,PHI,RB,15,15.0,62,4.1,62.0,2,11T,4,26.7,0,0,0

18,CarlosHyde,CLE,RB,22,22.0,62,2.8,62.0,1,12,3,13.6,0,0,0

20,FrankGore,MIA,RB,9,9.0,61,6.8,61.0,0,21,3,33.3,1,0,0

21,BilalPowell,NYJ,RB,12,12.0,60,5.0,60.0,0,14,3,25.0,0,0,0

22,CamNewton,CAR,QB,13,13.0,58,4.5,58.0,1,29,4,30.8,1,0,0

23,ChrisCarson,SEA,RB,7,7.0,51,7.3,51.0,0,24,1,14.3,1,0,1

23,T.J.Yeldon,JAX,RB,14,14.0,51,3.6,51.0,0,15,1,7.1,0,0,0

25,ChristianMcCaffrey,CAR,RB,10,10.0,50,5.0,50.0,0,15,2,20.0,0,0,1

26,KareemHunt,KC,RB,16,16.0,49,3.1,49.0,0,13,2,12.5,0,0,0

27,KenyanDrake,MIA,RB,14,14.0,48,3.4,48.0,0,16,3,21.4,0,0,0

28,JamaalWilliams,GB,RB,15,15.0,47,3.1,47.0,0,11,2,13.3,0,0,0

29,MattBreida,SF,RB,11,11.0,46,4.2,46.0,0,11,2,18.2,0,0,0

30,KennethDixon,BAL,RB,13,13.0,44,3.4,44.0,1,15,3,23.1,0,0,0

