Player,Team,Pos,Comp,Att,Yds,TDs,INTs,FFP
Drew Brees,NO,QB,37,45,439,3,0,29.56
Philip Rivers,LAC,QB,34,51,424,3,1,27.96
Ryan Fitzpatrick,TB,QB,21,28,417,4,0,32.68
Ben Roethlisberger,PIT,QB,23,41,335,1,3,14.399999999999999
Case Keenum,DEN,QB,25,39,329,3,3,22.16
Andrew Luck,IND,QB,39,53,319,2,1,19.759999999999998
Derek Carr,OAK,QB,29,40,303,0,3,9.120000000000001
Russell Wilson,SEA,QB,19,33,298,3,2,21.92
Aaron Rodgers,GB,QB,20,30,286,3,0,23.439999999999998
Matthew Stafford,DET,QB,27,46,286,1,4,11.44
Tom Brady,NE,QB,26,39,277,3,1,22.08
Jimmy Garoppolo,SF,QB,15,33,261,1,3,11.44
Patrick Mahomes,KC,QB,15,27,256,4,0,26.240000000000002
Alex Smith,WAS,QB,21,30,255,2,0,18.200000000000003
Matt Ryan,ATL,QB,21,43,251,0,1,9.040000000000001
Kirk Cousins,MIN,QB,20,36,244,2,0,17.759999999999998
Andy Dalton,CIN,QB,21,28,243,2,1,16.72
Joe Flacco,BAL,QB,25,34,236,3,0,21.439999999999998
Jared Goff,LA,QB,18,33,233,2,0,17.32
Ryan Tannehill,MIA,QB,20,28,230,2,2,15.200000000000003
Eli Manning,NYG,QB,23,37,224,0,1,7.960000000000001
Sam Darnold,NYJ,QB,16,21,198,2,1,14.92
Tyrod Taylor,CLE,QB,15,40,197,1,1,10.879999999999999
Blake Bortles,JAX,QB,18,33,176,1,1,10.04
Deshaun Watson,HOU,QB,17,34,176,1,1,10.04
Mitchell Trubisky,CHI,QB,23,35,171,0,0,6.84
Dak Prescott,DAL,QB,19,29,170,0,0,6.8
Cam Newton,CAR,QB,17,26,161,0,0,6.44
Sam Bradford,ARI,QB,20,34,153,0,1,5.12
Nick Foles,PHI,QB,19,34,117,0,1,3.6799999999999997
Blaine Gabbert,TEN,QB,11,22,117,0,1,3.6799999999999997
Marcus Mariota,TEN,QB,9,16,103,0,2,2.12
Josh Allen,BUF,QB,6,15,74,0,0,2.96
DeShone Kizer,GB,QB,4,7,55,0,1,1.2000000000000002
Lamar Jackson,BAL,QB,1,4,24,0,0,0.96
Nathan Peterman,BUF,QB,5,18,24,0,2,-1.04
Nelson Agholor,PHI,WR,1,1,15,0,0,0.6
Matt Cassel,DET,QB,2,6,14,0,1,-0.43999999999999995
