Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
1,Michael Thomas,NO,WR,42,445,10.6,111.2,35,3,5,0,23,54.8,2
2,Adam Thielen,MIN,WR,40,473,11.8,118.2,45T,2,6,1,25,62.5,0
3,Alvin Kamara,NO,RB,35,336,9.6,84.0,35,1,4,0,14,40.0,0
4,Odell Beckham,NYG,WR,31,331,10.7,82.8,30,0,5,0,16,51.6,0
4,Zach Ertz,PHI,TE,31,327,10.5,81.8,34,0,3,0,14,45.2,0
4,JuJu Smith-Schuster,PIT,WR,31,416,13.4,104.0,67,1,5,2,21,67.7,0
7,DeAndre Hopkins,HOU,WR,30,443,14.8,110.8,31,2,9,0,23,76.7,0
8,Antonio Brown,PIT,WR,29,272,9.4,68.0,27T,3,3,0,14,48.3,0
8,Mike Evans,TB,WR,29,426,14.7,106.5,51,3,6,2,21,72.4,1
8,Julio Jones,ATL,WR,29,502,17.3,125.5,58,0,7,2,23,79.3,0
11,Davante Adams,GB,WR,28,285,10.2,71.2,51,3,2,1,13,46.4,0
11,Golden Tate,DET,WR,28,389,13.9,97.2,67,3,7,2,17,60.7,0
13,Saquon Barkley,NYG,RB,27,193,7.1,48.2,21,0,1,0,8,29.6,0
13,Stefon Diggs,MIN,WR,27,311,11.5,77.8,75T,3,4,1,12,44.4,0
15,Tyler Boyd,CIN,WR,26,349,13.4,87.2,49,2,6,1,18,69.2,0
15,Jared Cook,OAK,TE,26,370,14.2,92.5,45,2,7,1,18,69.2,0
15,Brandin Cooks,LA,WR,26,452,17.4,113.0,57,1,9,2,20,76.9,1
18,Nelson Agholor,PHI,WR,25,167,6.7,41.8,50,1,1,1,11,44.0,1
19,Keenan Allen,LAC,WR,24,282,11.8,70.5,25,1,4,0,13,54.2,1
19,Melvin Gordon,LAC,RB,24,199,8.3,49.8,25,3,2,0,12,50.0,1
19,Cooper Kupp,LA,WR,24,348,14.5,87.0,70T,4,4,2,15,62.5,0
19,Jarvis Landry,CLE,WR,24,312,13.0,78.0,39,1,5,0,13,54.2,0
19,Emmanuel Sanders,DEN,WR,24,314,13.1,78.5,43T,1,6,1,12,50.0,0
19,Sterling Shepard,NYG,WR,24,229,9.5,57.2,23,2,2,0,16,66.7,0
19,Robert Woods,LA,WR,24,323,13.5,80.8,36,3,7,0,17,70.8,0
26,Kenny Golladay,DET,WR,23,330,14.3,82.5,30T,2,6,0,19,82.6,0
26,Tyreek Hill,KC,WR,23,364,15.8,91.0,58T,3,8,2,15,65.2,0
26,Travis Kelce,KC,TE,23,307,13.3,76.8,31,3,5,0,12,52.2,0
29,Corey Davis,TEN,WR,22,312,14.2,78.0,51,1,5,1,16,72.7,1
29,Taylor Gabriel,CHI,WR,22,193,8.8,48.2,33,2,3,0,7,31.8,0
29,Nyheim Hines,IND,RB,22,119,5.4,29.8,17,2,0,0,10,45.5,0
29,Christian McCaffrey,CAR,RB,22,157,7.1,52.3,18,0,0,0,10,45.5,0
29,James White,NE,RB,22,193,8.8,48.2,27,3,1,0,10,45.5,0
34,Amari Cooper,OAK,WR,21,270,12.9,67.5,36,1,4,0,13,61.9,0
34,Quincy Enunwa,NYJ,WR,21,278,13.2,69.5,42,1,4,1,16,76.2,1
34,T.Y. Hilton,IND,WR,21,294,14.0,73.5,42,2,4,2,13,61.9,0
34,Theo Riddick,DET,RB,21,118,5.6,29.5,20,0,1,0,5,23.8,0
34,Dede Westbrook,JAX,WR,21,294,14.0,73.5,61T,1,6,1,14,66.7,2
39,A.J. Green,CIN,WR,20,297,14.9,74.2,38T,5,4,0,17,85.0,2
39,Demaryius Thomas,DEN,WR,20,168,8.4,42.0,23,1,2,0,10,50.0,0
39,Chris Thompson,WAS,RB,20,155,7.8,51.7,23,1,1,0,9,45.0,0
42,Geronimo Allison,GB,WR,19,289,15.2,72.2,64T,2,4,1,10,52.6,1
42,Allen Robinson,CHI,WR,19,217,11.4,54.2,39,1,2,0,12,63.2,0
44,James Conner,PIT,RB,18,164,9.1,41.0,22,0,1,0,7,38.9,0
44,Michael Crabtree,BAL,WR,18,184,10.2,46.0,20,1,1,0,10,55.6,0
44,Ryan Grant,IND,WR,18,188,10.4,47.0,23,1,3,0,10,55.6,0
44,George Kittle,SF,TE,18,316,17.6,79.0,82T,1,3,1,13,72.2,0
44,Dion Lewis,TEN,RB,18,116,6.4,29.0,17,0,0,0,4,22.2,0
44,Jalen Richard,OAK,RB,18,152,8.4,38.0,18,0,0,0,8,44.4,0
44,Kyle Rudolph,MIN,TE,18,188,10.4,47.0,24,2,2,0,14,77.8,0
44,Willie Snead,BAL,WR,18,198,11.0,49.5,20,1,1,0,13,72.2,0
52,Randall Cobb,GB,WR,17,194,11.4,64.7,75T,1,2,1,9,52.9,1
52,Keelan Cole,JAX,WR,17,225,13.2,56.2,31,1,4,0,10,58.8,0
52,Eric Ebron,IND,TE,17,150,8.8,37.5,26T,3,1,0,6,35.3,0
52,Will Fuller,HOU,WR,17,263,15.5,87.7,39T,3,5,0,14,82.4,0
52,Rob Gronkowski,NE,TE,17,233,13.7,58.2,30,1,4,0,10,58.8,1
52,DeSean Jackson,TB,WR,17,424,24.9,106.0,75T,3,7,4,14,82.4,0
52,Tyler Lockett,SEA,WR,17,249,14.6,62.2,52T,3,3,2,10,58.8,1
59,Cole Beasley,DAL,WR,16,185,11.6,46.2,19,0,0,0,12,75.0,0
59,Phillip Dorsett,NE,WR,16,165,10.3,41.2,20,2,1,0,11,68.8,0
59,Jimmy Graham,GB,TE,16,169,10.6,42.2,34,1,2,0,7,43.8,0
59,Christian Kirk,ARI,WR,16,149,9.3,37.2,32,0,2,0,6,37.5,0
59,Jordy Nelson,OAK,WR,16,274,17.1,68.5,66,2,3,2,9,56.3,0
59,Chester Rogers,IND,WR,16,134,8.4,33.5,22,0,1,0,9,56.3,0
59,Mohamed Sanu,ATL,WR,16,184,11.5,46.0,36,1,2,0,10,62.5,0
66,Javorius Allen,BAL,RB,15,87,5.8,21.8,16,1,0,0,6,40.0,0
66,John Brown,BAL,WR,15,338,22.5,84.5,71,3,6,3,11,73.3,0
66,Tyler Eifert,CIN,TE,15,179,11.9,44.8,29,1,2,0,10,66.7,0
66,Ezekiel Elliott,DAL,RB,15,125,8.3,31.2,38T,1,2,0,4,26.7,0
66,Larry Fitzgerald,ARI,WR,15,141,9.4,35.2,27,0,2,0,7,46.7,0
66,Chris Godwin,TB,WR,15,193,12.9,48.2,20,3,1,0,12,80.0,2
