Rank,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TDs,INTs,1st,1st%,Long,20+,40+,Sacks,Rate
1,Ben Roethlisberger,PIT,QB,119,186,64.0,46.5,"1,414",7.6,353.5,8,5,70,37.6,75T,17,4,9,90.2
2,Jared Goff,LA,QB,97,134,72.4,33.5,"1,406",10.5,351.5,11,2,64,47.8,70T,23,5,5,127.3
3,Kirk Cousins,MIN,QB,131,189,69.3,47.2,"1,387",7.3,346.8,10,2,74,39.2,75T,14,2,13,103.6
4,Derek Carr,OAK,QB,120,169,71.0,42.2,"1,373",8.1,343.2,6,7,64,37.9,66,17,3,8,89.7
5,Ryan Fitzpatrick,TB,QB,87,129,67.4,32.2,"1,356",10.5,339.0,11,5,59,45.7,75T,20,7,7,114.4
6,Matt Ryan,ATL,QB,99,145,68.3,36.2,"1,316",9.1,329.0,10,2,60,41.4,75T,16,3,10,114.0
7,Drew Brees,NO,QB,122,161,75.8,40.2,"1,295",8.0,323.8,8,0,60,37.3,42,19,1,6,115.3
8,Joe Flacco,BAL,QB,110,171,64.3,42.8,"1,252",7.3,313.0,8,2,62,36.3,71,15,3,9,96.9
9,Deshaun Watson,HOU,QB,92,148,62.2,37.0,"1,246",8.4,311.5,7,4,62,41.9,39T,19,0,17,93.5
10,Matthew Stafford,DET,QB,112,165,67.9,41.2,"1,202",7.3,300.5,8,5,62,37.6,67,17,2,6,92.5
11,Patrick Mahomes,KC,QB,90,138,65.2,34.5,"1,200",8.7,300.0,14,0,55,39.9,58T,21,3,5,126.5
12,Andy Dalton,CIN,QB,103,157,65.6,39.2,"1,197",7.6,299.2,11,6,63,40.1,49,16,1,7,96.0
13,Philip Rivers,LAC,QB,100,147,68.0,36.8,"1,156",7.9,289.0,11,2,62,42.2,42T,19,1,5,110.8
14,Aaron Rodgers,GB,QB,99,156,63.5,39.0,"1,130",7.2,282.5,7,1,45,28.8,75T,11,4,12,97.4
15,Andrew Luck,IND,QB,125,186,67.2,46.5,"1,126",6.1,281.5,9,3,59,31.7,42,9,2,9,92.7
16,Blake Bortles,JAX,QB,97,150,64.7,37.5,"1,095",7.3,273.8,7,3,57,38.0,67T,14,2,6,93.6
17,Eli Manning,NYG,QB,112,151,74.2,37.8,"1,055",7.0,263.8,4,1,53,35.1,37,9,0,15,99.1
18,Case Keenum,DEN,QB,87,141,61.7,35.2,988,7.0,247.0,3,6,42,29.8,43T,19,2,9,72.1
19,Mitchell Trubisky,CHI,QB,91,130,70.0,32.5,945,7.3,236.2,8,3,45,34.6,47,12,1,10,101.6
20,Tom Brady,NE,QB,87,135,64.4,33.8,918,6.8,229.5,9,4,45,33.3,55T,10,1,6,94.0
21,Russell Wilson,SEA,QB,76,121,62.8,30.2,888,7.3,222.0,7,3,36,29.8,66,9,3,16,94.0
22,Sam Darnold,NYJ,QB,73,127,57.5,31.8,868,6.8,217.0,4,5,42,33.1,44,11,3,10,72.6
23,Ryan Tannehill,MIA,QB,65,94,69.1,23.5,787,8.4,196.8,7,3,32,34.0,75T,8,2,8,106.1
24,Alex Smith,WAS,QB,66,96,68.8,32.0,767,8.0,255.7,4,1,36,37.5,52,9,3,6,102.2
25,Dak Prescott,DAL,QB,71,115,61.7,28.8,753,6.5,188.2,4,2,36,31.3,64T,7,1,14,85.2
26,Jimmy Garoppolo,SF,QB,53,89,59.6,29.7,718,8.1,239.3,5,3,35,39.3,56,9,1,13,90.0
27,Josh Allen,BUF,QB,55,103,53.4,25.8,666,6.5,166.5,2,4,27,26.2,57,9,2,18,63.8
28,Cam Newton,CAR,QB,64,95,67.4,31.7,646,6.8,215.3,5,1,39,41.1,51T,7,1,6,99.7
29,Carson Wentz,PHI,QB,58,87,66.7,43.5,603,6.9,301.5,3,1,30,34.5,56T,5,1,9,93.2
30,Marcus Mariota,TEN,QB,51,77,66.2,25.7,547,7.1,182.3,2,3,26,33.8,51,6,1,4,79.3
31,Baker Mayfield,CLE,QB,38,64,59.4,32.0,496,7.8,248.0,2,2,22,34.4,59,5,2,3,81.2
32,Tyrod Taylor,CLE,QB,41,84,48.8,28.0,462,5.5,154.0,2,2,17,20.2,47T,7,1,13,63.7
33,Nick Foles,PHI,QB,54,82,65.9,41.0,451,5.5,225.5,1,1,19,23.2,50,3,1,5,78.9
34,Sam Bradford,ARI,QB,50,80,62.5,26.7,400,5.0,133.3,2,4,16,20.0,35T,6,0,6,62.5
35,C.J. Beathard,SF,QB,23,37,62.2,18.5,298,8.1,149.0,2,2,13,35.1,82T,4,1,1,82.9
36,Blaine Gabbert,TEN,QB,25,45,55.6,15.0,242,5.4,80.7,1,1,15,33.3,18T,0,0,3,68.9
